"ID" "person" "att"
"1" 1 5
"2" 1 7
"3" 1 6
"4" 1 7
"5" 1 NA
"6" 2 NA
"7" 2 3
"8" 2 6
"9" 2 6
"10" 2 3
"11" 3 3
"12" 3 6
"13" 3 7
"14" 3 2
"15" 3 7
"16" 4 3
"17" 4 NA
"18" 4 3
"19" 4 7
"20" 4 3
"21" 5 1
"22" 5 1
"23" 5 6
"24" 5 4
"25" 5 4
"26" 6 NA
"27" 6 3
"28" 6 1
"29" 6 1
"30" 6 1
"31" 7 5
"32" 7 5
"33" 7 1
"34" 7 7
"35" 7 7
"36" 8 7
"37" 8 5
"38" 8 5
"39" 8 7
"40" 8 6
"41" 9 3
"42" 9 1
"43" 9 6
"44" 9 1
"45" 9 5
"46" 10 NA
"47" 10 NA
"48" 10 NA
"49" 10 5
"50" 10 4
"51" 11 4
"52" 11 6
"53" 11 7
"54" 11 6
"55" 11 5
"56" 12 1
"57" 12 NA
"58" 12 5
"59" 12 1
"60" 12 NA
"61" 13 2
"62" 13 7
"63" 13 1
"64" 13 7
"65" 13 1
"66" 14 7
"67" 14 6
"68" 14 3
"69" 14 5
"70" 14 7
"71" 15 1
"72" 15 7
"73" 15 5
"74" 15 5
"75" 15 7
"76" 16 1
"77" 16 NA
"78" 16 5
"79" 16 3
"80" 16 5
"81" 17 NA
"82" 17 3
"83" 17 3
"84" 17 4
"85" 17 3
"86" 18 7
"87" 18 7
"88" 18 4
"89" 18 2
"90" 18 2
"91" 19 6
"92" 19 4
"93" 19 1
"94" 19 1
"95" 19 5
"96" 20 5
"97" 20 3
"98" 20 1
"99" 20 3
"100" 20 2
