Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave
2016,1.40%,1.00%,0.90%,1.10%,1.00%,1.00%,0.80%,1.10%,1.50%,1.60%,1.70%,2.10%,1.30%
2015,-0.10%,0.00%,-0.10%,-0.20%,0.00%,0.10%,0.20%,0.20%,0.00%,0.20%,0.50%,0.70%,0.10%
2014,1.60%,1.10%,1.50%,2.00%,2.10%,2.10%,2.00%,1.70%,1.70%,1.70%,1.30%,0.80%,1.60%
2013,1.60%,2.00%,1.50%,1.10%,1.40%,1.80%,2.00%,1.50%,1.20%,1.00%,1.20%,1.50%,1.50%
2012,2.90%,2.90%,2.70%,2.30%,1.70%,1.70%,1.40%,1.70%,2.00%,2.20%,1.80%,1.70%,2.10%
2011,1.60%,2.10%,2.70%,3.20%,3.60%,3.60%,3.60%,3.80%,3.90%,3.50%,3.40%,3.00%,3.20%
2010,2.60%,2.10%,2.30%,2.20%,2.00%,1.10%,1.20%,1.10%,1.10%,1.20%,1.10%,1.50%,1.60%
2009,0.00%,0.20%,-0.40%,-0.70%,-1.30%,-1.40%,-2.10%,-1.50%,-1.30%,-0.20%,1.80%,2.70%,-0.40%
2008,4.30%,4.00%,4.00%,3.90%,4.20%,5.00%,5.60%,5.40%,4.90%,3.70%,1.10%,0.10%,3.80%
2007,2.10%,2.40%,2.80%,2.60%,2.70%,2.70%,2.40%,2.00%,2.80%,3.50%,4.30%,4.10%,2.80%
2006,4.00%,3.60%,3.40%,3.50%,4.20%,4.30%,4.10%,3.80%,2.10%,1.30%,2.00%,2.50%,3.20%
2005,3.00%,3.00%,3.10%,3.50%,2.80%,2.50%,3.20%,3.60%,4.70%,4.30%,3.50%,3.40%,3.40%
2004,1.90%,1.70%,1.70%,2.30%,3.10%,3.30%,3.00%,2.70%,2.50%,3.20%,3.50%,3.30%,2.70%
2003,2.60%,3.00%,3.00%,2.20%,2.10%,2.10%,2.10%,2.20%,2.30%,2.00%,1.80%,1.90%,2.30%
2002,1.10%,1.10%,1.50%,1.60%,1.20%,1.10%,1.50%,1.80%,1.50%,2.00%,2.20%,2.40%,1.60%
2001,3.70%,3.50%,2.90%,3.30%,3.60%,3.20%,2.70%,2.70%,2.60%,2.10%,1.90%,1.60%,2.80%
2000,2.70%,3.20%,3.80%,3.10%,3.20%,3.70%,3.70%,3.40%,3.50%,3.40%,3.40%,3.40%,3.40%
1999,1.70%,1.60%,1.70%,2.30%,2.10%,2.00%,2.10%,2.30%,2.60%,2.60%,2.60%,2.70%,2.20%
1998,1.60%,1.40%,1.40%,1.40%,1.70%,1.70%,1.70%,1.60%,1.50%,1.50%,1.50%,1.60%,1.60%
1997,3.00%,3.00%,2.80%,2.50%,2.20%,2.30%,2.20%,2.20%,2.20%,2.10%,1.80%,1.70%,2.30%
1996,2.70%,2.70%,2.80%,2.90%,2.90%,2.80%,3.00%,2.90%,3.00%,3.00%,3.30%,3.30%,3.00%
1995,2.80%,2.90%,2.90%,3.10%,3.20%,3.00%,2.80%,2.60%,2.50%,2.80%,2.60%,2.50%,2.80%
1994,2.50%,2.50%,2.50%,2.40%,2.30%,2.50%,2.80%,2.90%,3.00%,2.60%,2.70%,2.70%,2.60%
1993,3.30%,3.20%,3.10%,3.20%,3.20%,3.00%,2.80%,2.80%,2.70%,2.80%,2.70%,2.70%,3.00%
1992,2.60%,2.80%,3.20%,3.20%,3.00%,3.10%,3.20%,3.10%,3.00%,3.20%,3.00%,2.90%,3.00%
1991,5.70%,5.30%,4.90%,4.90%,5.00%,4.70%,4.40%,3.80%,3.40%,2.90%,3.00%,3.10%,4.20%
1990,5.20%,5.30%,5.20%,4.70%,4.40%,4.70%,4.80%,5.60%,6.20%,6.30%,6.30%,6.10%,5.40%
1989,4.70%,4.80%,5.00%,5.10%,5.40%,5.20%,5.00%,4.70%,4.30%,4.50%,4.70%,4.60%,4.80%
1988,4.00%,3.90%,3.90%,3.90%,3.90%,4.00%,4.10%,4.00%,4.20%,4.20%,4.20%,4.40%,4.10%
1987,1.50%,2.10%,3.00%,3.80%,3.90%,3.70%,3.90%,4.30%,4.40%,4.50%,4.50%,4.40%,3.60%
1986,3.90%,3.10%,2.30%,1.60%,1.50%,1.80%,1.60%,1.60%,1.80%,1.50%,1.30%,1.10%,1.90%
1985,3.50%,3.50%,3.70%,3.70%,3.80%,3.80%,3.60%,3.30%,3.10%,3.20%,3.50%,3.80%,3.60%
1984,4.20%,4.60%,4.80%,4.60%,4.20%,4.20%,4.20%,4.30%,4.30%,4.30%,4.10%,3.90%,4.30%
1983,3.70%,3.50%,3.60%,3.90%,3.50%,2.60%,2.50%,2.60%,2.90%,2.90%,3.30%,3.80%,3.20%
1982,8.40%,7.60%,6.80%,6.50%,6.70%,7.10%,6.40%,5.90%,5.00%,5.10%,4.60%,3.80%,6.20%
1981,11.80%,11.40%,10.50%,10.00%,9.80%,9.60%,10.80%,10.80%,11.00%,10.10%,9.60%,8.90%,10.30%
1980,13.90%,14.20%,14.80%,14.70%,14.40%,14.40%,13.10%,12.90%,12.60%,12.80%,12.60%,12.50%,13.50%
