"cars_per_minute","replicate","length_of_green","cars_finished_sim","total_time_in_sim","avg_time_in_sim"
0.75,1,15,1484,246160,165.876010781671
0.75,1,30,1474,227023,154.018317503392
0.75,1,45,1491,251531,168.699530516432
0.75,1,60,1503,251485,167.322022621424
0.75,1,75,1491,227154,152.350100603622
0.75,1,90,1481,227650,153.71370695476
0.75,1,105,1491,259613,174.120053655265
0.75,1,120,1460,249977,171.217123287671
0.75,1,135,1488,239338,160.845430107527
0.75,1,150,1477,232123,157.158429248477
0.75,1,165,1489,234955,157.793821356615
0.75,1,180,1491,234674,157.393695506372
0.75,1,195,1478,228206,154.401894451962
0.75,1,210,1475,238550,161.728813559322
0.75,1,225,1476,236531,160.25135501355
0.75,1,240,1459,226818,155.461274845785
0.75,1,255,1488,224002,150.538978494624
0.75,1,270,1488,235763,158.442876344086
0.75,1,285,1466,229917,156.832878581173
0.75,1,300,1462,222823,152.409712722298
0.75,2,15,1441,226793,157.385843164469
0.75,2,30,1455,230451,158.385567010309
0.75,2,45,1485,243393,163.90101010101
0.75,2,60,1492,226363,151.717828418231
0.75,2,75,1504,238394,158.50664893617
0.75,2,90,1441,226423,157.12907702984
0.75,2,105,1480,248149,167.668243243243
0.75,2,120,1480,245472,165.859459459459
0.75,2,135,1468,264322,180.055858310627
0.75,2,150,1488,232143,156.010080645161
0.75,2,165,1459,236229,161.911583276217
0.75,2,180,1484,237750,160.208894878706
0.75,2,195,1467,220568,150.353101567825
0.75,2,210,1504,231333,153.811835106383
0.75,2,225,1486,267976,180.333781965007
0.75,2,240,1472,227138,154.305706521739
0.75,2,255,1479,232888,157.463150777552
0.75,2,270,1473,238996,162.251188051595
0.75,2,285,1489,243393,163.460711887173
0.75,2,300,1484,228920,154.258760107817
0.75,3,15,1476,252926,171.359078590786
0.75,3,30,1470,227862,155.008163265306
0.75,3,45,1462,224416,153.499316005472
0.75,3,60,1466,236763,161.50272851296
0.75,3,75,1467,226628,154.483980913429
0.75,3,90,1464,223915,152.947404371585
0.75,3,105,1477,229275,155.23019634394
0.75,3,120,1476,226578,153.508130081301
0.75,3,135,1500,238631,159.087333333333
0.75,3,150,1470,231622,157.565986394558
0.75,3,165,1473,233412,158.460285132383
0.75,3,180,1470,231519,157.495918367347
0.75,3,195,1476,227873,154.385501355014
0.75,3,210,1459,218731,149.918437285812
0.75,3,225,1480,256732,173.467567567568
0.75,3,240,1478,235317,159.213125845737
0.75,3,255,1480,237046,160.166216216216
0.75,3,270,1453,233518,160.714384033035
0.75,3,285,1471,236430,160.727396329028
0.75,3,300,1481,236323,159.569885212694
0.75,4,15,1484,239644,161.485175202156
0.75,4,30,1478,227892,154.189445196211
0.75,4,45,1493,232998,156.060281312793
0.75,4,60,1452,221746,152.717630853994
0.75,4,75,1484,217426,146.513477088949
0.75,4,90,1474,239930,162.774762550882
0.75,4,105,1497,239013,159.661322645291
0.75,4,120,1488,229114,153.974462365591
0.75,4,135,1470,229083,155.838775510204
0.75,4,150,1472,234503,159.30910326087
0.75,4,165,1484,244700,164.89218328841
0.75,4,180,1468,228948,155.959128065395
0.75,4,195,1485,219375,147.727272727273
0.75,4,210,1471,226400,153.908905506458
0.75,4,225,1495,242963,162.517056856187
0.75,4,240,1486,229642,154.537012113055
0.75,4,255,1490,240668,161.522147651007
0.75,4,270,1472,232430,157.900815217391
0.75,4,285,1478,236335,159.901894451962
0.75,4,300,1477,223629,151.407582938389
